City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Manggar,ID,79.77,overcast clouds,-2.8833,108.2667,Guest Hotel
536,Mayumba,GA,75.13,overcast clouds,-3.432,10.6554,LIKWALE LODGE
537,Kalna,IN,77.18,scattered clouds,23.2167,88.3667,Hotel Priyadarshini
538,Parati,BR,70.05,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
539,Ginir,ET,63.09,overcast clouds,7.1333,40.7,Sura Dare Village
540,Nampula,MZ,67.95,clear sky,-15.1165,39.2666,Ruby Backpackers
542,Santa Barbara,US,72.82,clear sky,34.7333,-120.0343,Upper Ballard Campground
544,Balkanabat,TM,79.48,clear sky,39.5108,54.3671,Nebitchi Hotel
545,Porto Belo,BR,66.15,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
546,Algete,ES,73.8,clear sky,40.5971,-3.4974,Pensión la Imprenta
547,Sarkand,KZ,62.92,clear sky,45.41,79.9186,Гостиница Сарканд
548,Khunti,IN,73.51,broken clouds,23.0833,85.2833,Mohan sharma house
549,Kirakira,SB,79.09,light rain,-10.4544,161.9205,SanBiz Lodge
557,Sinnamary,GF,80.87,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
558,Grand-Lahou,CI,74.84,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
559,Byron Bay,AU,68.94,overcast clouds,-28.65,153.6167,Backpackers Inn
561,Nicoya,CR,78.58,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
562,Mazamari,PE,75.38,light rain,-11.3258,-74.5308,Hospedaje Ratto
564,Progreso,MX,85.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
565,San Ignacio,BZ,78.94,thunderstorm,17.1561,-89.0714,Rainforest Haven Inn
569,Samarinda,ID,71.53,moderate rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
